country,suicides,crash_data
Poland,15.15,"After GEC"
Portugal,11.3,"Before GEC"
Portugal,11.54,"After GEC"
"Puerto Rico",10.76,"Before GEC"
"Puerto Rico",7.18,"After GEC"
Qatar,2.07,"Before GEC"
Qatar,1.35,"After GEC"
"Republic of Korea",23.04,"Before GEC"
"Republic of Korea",36.02,"After GEC"
Romania,12.77,"Before GEC"
Romania,11.42,"After GEC"
"Russian Federation",37.69,"Before GEC"
"Russian Federation",22.59,"After GEC"
"Saint Kitts and Nevis",0,"Before GEC"
"Saint Lucia",7.21,"Before GEC"
"Saint Lucia",7.17,"After GEC"
"Saint Vincent and Grenadines",6.14,"Before GEC"
"Saint Vincent and Grenadines",4.22,"After GEC"
"San Marino",4.04,"Before GEC"
Serbia,23.52,"Before GEC"
Serbia,18.64,"After GEC"
Seychelles,8.17,"Before GEC"
Seychelles,5.68,"After GEC"
Singapore,18.28,"Before GEC"
Singapore,10.63,"After GEC"
Slovakia,12.77,"Before GEC"
Slovakia,11.28,"After GEC"
Slovenia,29.49,"Before GEC"
Slovenia,22.49,"After GEC"
"South Africa",0.92,"Before GEC"
"South Africa",1.1,"After GEC"
Spain,9.68,"Before GEC"
Spain,8.14,"After GEC"
"Sri Lanka",35.3,"Before GEC"
Suriname,19.83,"Before GEC"
Suriname,30.24,"After GEC"
Sweden,15.15,"Before GEC"
Sweden,12.65,"After GEC"
Switzerland,20.64,"Before GEC"
Switzerland,13.84,"After GEC"
Thailand,7.16,"Before GEC"
Thailand,6.76,"After GEC"
"Trinidad and Tobago",13.91,"Before GEC"
"Trinidad and Tobago",11.56,"After GEC"
Turkey,2.21,"Before GEC"
Turkey,2.44,"After GEC"
Turkmenistan,9.9,"Before GEC"
Turkmenistan,2.37,"After GEC"
Ukraine,27.44,"Before GEC"
Ukraine,21.41,"After GEC"
"United Arab Emirates",1.32,"Before GEC"
"United Kingdom",7.62,"Before GEC"
"United Kingdom",6.89,"After GEC"
"United States",13.78,"Before GEC"
"United States",14.02,"After GEC"
Uruguay,19.12,"Before GEC"
Uruguay,21.5,"After GEC"
Uzbekistan,8.47,"Before GEC"
Uzbekistan,6.43,"After GEC"
